運送会社,サイズ,重量,地域,運賃,離島加算,中継料
佐川,60,2,中国,410,0.0,0.0
佐川,80,5,中国,420,,
佐川,100,10,中国,490,,
佐川,140,20,中国,590,,
佐川,160,30,中国,1000,,
佐川,170,30,中国,1100,,
佐川,180,60,中国,1380,,
佐川,200,80,中国,1670,,
佐川,220,100,中国,2260,,
佐川,240,140,中国,2860,,
佐川,260,180,中国,3610,,
佐川,60,2,信越,410,0.0,0.0
佐川,80,5,信越,450,,
佐川,100,10,信越,510,,
佐川,140,20,信越,640,,
佐川,160,30,信越,1070,,
佐川,170,30,信越,1170,,
佐川,180,60,信越,1490,,
佐川,200,80,信越,1800,,
佐川,220,100,信越,2460,,
佐川,240,140,信越,3100,,
佐川,260,180,信越,3920,,
佐川,60,2,北九州,410,0.0,0.0
佐川,80,5,北九州,430,,
佐川,100,10,北九州,540,,
佐川,140,20,北九州,710,,
佐川,160,30,北九州,1130,,
佐川,170,30,北九州,1250,,
佐川,180,60,北九州,1590,,
佐川,200,80,北九州,1930,,
佐川,220,100,北九州,2630,,
佐川,240,140,北九州,3330,,
佐川,260,180,北九州,4200,,
佐川,60,2,北東北,530,0.0,0.0
佐川,80,5,北東北,560,,
佐川,100,10,北東北,760,,
佐川,140,20,北東北,960,,
佐川,160,30,北東北,1570,,
佐川,170,30,北東北,1790,,
佐川,180,60,北東北,2310,,
佐川,200,80,北東北,2840,,
佐川,220,100,北東北,3900,,
佐川,240,140,北東北,4960,,
佐川,260,180,北東北,6260,,
佐川,60,2,北海道,1150,0.0,0.0
佐川,80,5,北海道,1250,,
佐川,100,10,北海道,1450,,
佐川,140,20,北海道,1550,,
佐川,160,30,北海道,1930,,
佐川,170,30,北海道,2210,,
佐川,180,60,北海道,2890,,
佐川,200,80,北海道,3560,,
佐川,220,100,北海道,4910,,
佐川,240,140,北海道,6260,,
佐川,260,180,北海道,7900,,
佐川,60,2,北陸,410,0.0,0.0
佐川,80,5,北陸,420,,
佐川,100,10,北陸,470,,
佐川,140,20,北陸,560,,
佐川,160,30,北陸,960,,
佐川,170,30,北陸,1040,,
佐川,180,60,北陸,1310,,
佐川,200,80,北陸,1580,,
佐川,220,100,北陸,2140,,
佐川,240,140,北陸,2680,,
佐川,260,180,北陸,3380,,
佐川,60,2,南九州,410,0.0,0.0
佐川,80,5,南九州,430,,
佐川,100,10,南九州,570,,
佐川,140,20,南九州,710,,
佐川,160,30,南九州,1310,,
佐川,170,50,南九州,1350,,
佐川,180,60,南九州,1720,,
佐川,200,80,南九州,2170,,
佐川,220,100,南九州,2870,,
佐川,240,140,南九州,3630,,
佐川,260,180,南九州,4580,,
佐川,60,2,南東北,420,0.0,0.0
佐川,80,5,南東北,510,,
佐川,100,10,南東北,660,,
佐川,140,20,南東北,810,,
佐川,160,30,南東北,1310,,
佐川,170,30,南東北,1480,,
佐川,180,60,南東北,1900,,
佐川,200,80,南東北,2330,,
佐川,220,100,南東北,3190,,
佐川,240,140,南東北,4040,,
佐川,260,180,南東北,5100,,
佐川,60,2,四国,410,0.0,0.0
佐川,80,5,四国,420,,
佐川,100,10,四国,470,,
佐川,140,20,四国,590,,
佐川,160,30,四国,960,,
佐川,170,30,四国,1040,,
佐川,180,60,四国,1310,,
佐川,200,80,四国,1580,,
佐川,220,100,四国,2140,,
佐川,240,140,四国,2680,,
佐川,260,180,四国,3380,,
佐川,60,2,東海,410,0.0,0.0
佐川,80,5,東海,420,,
佐川,100,10,東海,470,,
佐川,140,20,東海,560,,
佐川,160,30,東海,890,,
佐川,170,30,東海,960,,
佐川,180,60,東海,1200,,
佐川,200,80,東海,1440,,
佐川,220,100,東海,1930,,
佐川,240,140,東海,2440,,
佐川,260,180,東海,3070,,
佐川,60,2,関東,410,0.0,0.0
佐川,80,5,関東,460,,
佐川,100,10,関東,590,,
佐川,140,20,関東,730,,
佐川,160,30,関東,1240,,
佐川,170,30,関東,1390,,
佐川,180,60,関東,1770,,
佐川,200,80,関東,2150,,
佐川,220,100,関東,2960,,
佐川,240,140,関東,3750,,
佐川,260,180,関東,4740,,
佐川,60,2,関西,370,0.0,0.0
佐川,80,5,関西,390,,
佐川,100,10,関西,410,,
佐川,140,20,関西,490,,
佐川,160,30,関西,770,,
佐川,170,30,関西,820,,
佐川,180,60,関西,1010,,
佐川,200,80,関西,1210,,
佐川,220,100,関西,1600,,
佐川,240,140,関西,1990,,
佐川,260,180,関西,2510,,
西濃,,30,100,1400,0.0,0.0
西濃,,30,100,1400,0.0,0.0
西濃,,30,100,1400,0.0,0.0
西濃,,40,100,1600,0.0,0.0
西濃,,40,100,1600,0.0,0.0
西濃,,40,100,1600,0.0,0.0
西濃,,60,100,1800,0.0,0.0
西濃,,60,100,1800,0.0,0.0
西濃,,60,100,1800,0.0,0.0
西濃,,80,100,2000,0.0,0.0
西濃,,80,100,2000,0.0,0.0
西濃,,80,100,2000,0.0,0.0
西濃,,100,100,2300,0.0,0.0
西濃,,100,100,2300,0.0,0.0
西濃,,100,100,2300,0.0,0.0
西濃,,120,100,2600,0.0,0.0
西濃,,120,100,2600,0.0,0.0
西濃,,120,100,2600,0.0,0.0
西濃,,140,100,2800,0.0,0.0
西濃,,140,100,2800,0.0,0.0
西濃,,140,100,2800,0.0,0.0
西濃,,160,100,3100,0.0,0.0
西濃,,160,100,3100,0.0,0.0
西濃,,160,100,3100,0.0,0.0
西濃,,180,100,3300,0.0,0.0
西濃,,180,100,3300,0.0,0.0
西濃,,180,100,3300,0.0,0.0
西濃,,200,100,3900,0.0,0.0
西濃,,200,100,3900,0.0,0.0
西濃,,200,100,3900,0.0,0.0
西濃,,30,150,1500,0.0,0.0
西濃,,30,150,1500,0.0,0.0
西濃,,30,150,1500,0.0,0.0
西濃,,40,150,1600,0.0,0.0
西濃,,40,150,1600,0.0,0.0
西濃,,40,150,1600,0.0,0.0
西濃,,60,150,1900,0.0,0.0
西濃,,60,150,1900,0.0,0.0
西濃,,60,150,1900,0.0,0.0
西濃,,80,150,2200,0.0,0.0
西濃,,80,150,2200,0.0,0.0
西濃,,80,150,2200,0.0,0.0
西濃,,100,150,2500,0.0,0.0
西濃,,100,150,2500,0.0,0.0
西濃,,100,150,2500,0.0,0.0
西濃,,120,150,2800,0.0,0.0
西濃,,120,150,2800,0.0,0.0
西濃,,120,150,2800,0.0,0.0
西濃,,140,150,3100,0.0,0.0
西濃,,140,150,3100,0.0,0.0
西濃,,140,150,3100,0.0,0.0
西濃,,160,150,3400,0.0,0.0
西濃,,160,150,3400,0.0,0.0
西濃,,160,150,3400,0.0,0.0
西濃,,180,150,3600,0.0,0.0
西濃,,180,150,3600,0.0,0.0
西濃,,180,150,3600,0.0,0.0
西濃,,200,150,4200,0.0,0.0
西濃,,200,150,4200,0.0,0.0
西濃,,200,150,4200,0.0,0.0
西濃,,30,200,1500,0.0,0.0
西濃,,30,200,1500,0.0,0.0
西濃,,40,200,1700,0.0,0.0
西濃,,40,200,1700,0.0,0.0
西濃,,60,200,2000,0.0,0.0
西濃,,60,200,2000,0.0,0.0
西濃,,80,200,2300,0.0,0.0
西濃,,80,200,2300,0.0,0.0
西濃,,100,200,2700,0.0,0.0
西濃,,100,200,2700,0.0,0.0
西濃,,120,200,3000,0.0,0.0
西濃,,120,200,3000,0.0,0.0
西濃,,140,200,3300,0.0,0.0
西濃,,140,200,3300,0.0,0.0
西濃,,160,200,3600,0.0,0.0
西濃,,160,200,3600,0.0,0.0
西濃,,180,200,3800,0.0,0.0
西濃,,180,200,3800,0.0,0.0
西濃,,200,200,4600,0.0,0.0
西濃,,200,200,4600,0.0,0.0
西濃,,30,250,1600,0.0,0.0
西濃,,30,250,1600,0.0,0.0
西濃,,30,250,1600,0.0,0.0
西濃,,40,250,1800,0.0,0.0
西濃,,40,250,1800,0.0,0.0
西濃,,40,250,1800,0.0,0.0
西濃,,60,250,2100,0.0,0.0
西濃,,60,250,2100,0.0,0.0
西濃,,60,250,2100,0.0,0.0
西濃,,80,250,2400,0.0,0.0
西濃,,80,250,2400,0.0,0.0
西濃,,80,250,2400,0.0,0.0
西濃,,100,250,2900,0.0,0.0
西濃,,100,250,2900,0.0,0.0
西濃,,100,250,2900,0.0,0.0
西濃,,120,250,3100,0.0,0.0
西濃,,120,250,3100,0.0,0.0
西濃,,120,250,3100,0.0,0.0
西濃,,140,250,3600,0.0,0.0
西濃,,140,250,3600,0.0,0.0
西濃,,140,250,3600,0.0,0.0
西濃,,160,250,3800,0.0,0.0
西濃,,160,250,3800,0.0,0.0
西濃,,160,250,3800,0.0,0.0
西濃,,180,250,4100,0.0,0.0
西濃,,180,250,4100,0.0,0.0
西濃,,180,250,4100,0.0,0.0
西濃,,200,250,4900,0.0,0.0
西濃,,200,250,4900,0.0,0.0
西濃,,200,250,4900,0.0,0.0
西濃,,30,300,1600,0.0,0.0
西濃,,30,300,1600,0.0,0.0
西濃,,40,300,1800,0.0,0.0
西濃,,40,300,1800,0.0,0.0
西濃,,60,300,2200,0.0,0.0
西濃,,60,300,2200,0.0,0.0
西濃,,80,300,2600,0.0,0.0
西濃,,80,300,2600,0.0,0.0
西濃,,100,300,3000,0.0,0.0
西濃,,100,300,3000,0.0,0.0
西濃,,120,300,3400,0.0,0.0
西濃,,120,300,3400,0.0,0.0
西濃,,140,300,3700,0.0,0.0
西濃,,140,300,3700,0.0,0.0
西濃,,160,300,4100,0.0,0.0
西濃,,160,300,4100,0.0,0.0
西濃,,180,300,4300,0.0,0.0
西濃,,180,300,4300,0.0,0.0
西濃,,200,300,5200,0.0,0.0
西濃,,200,300,5200,0.0,0.0
西濃,,30,350,1600,0.0,0.0
西濃,,30,350,1600,0.0,0.0
西濃,,40,350,1900,0.0,0.0
西濃,,40,350,1900,0.0,0.0
西濃,,60,350,2300,0.0,0.0
西濃,,60,350,2300,0.0,0.0
西濃,,80,350,2700,0.0,0.0
西濃,,80,350,2700,0.0,0.0
西濃,,100,350,3100,0.0,0.0
西濃,,100,350,3100,0.0,0.0
西濃,,120,350,3500,0.0,0.0
西濃,,120,350,3500,0.0,0.0
西濃,,140,350,3900,0.0,0.0
西濃,,140,350,3900,0.0,0.0
西濃,,160,350,4300,0.0,0.0
西濃,,160,350,4300,0.0,0.0
西濃,,180,350,4500,0.0,0.0
西濃,,180,350,4500,0.0,0.0
西濃,,200,350,5500,0.0,0.0
西濃,,200,350,5500,0.0,0.0
西濃,,30,400,1700,0.0,0.0
西濃,,40,400,2000,0.0,0.0
西濃,,60,400,2400,0.0,0.0
西濃,,80,400,2800,0.0,0.0
西濃,,100,400,3300,0.0,0.0
西濃,,120,400,3700,0.0,0.0
西濃,,140,400,4100,0.0,0.0
西濃,,160,400,4500,0.0,0.0
西濃,,180,400,4800,0.0,0.0
西濃,,200,400,6800,0.0,0.0
西濃,,30,450,1700,0.0,0.0
西濃,,30,450,1700,0.0,0.0
西濃,,30,450,1700,0.0,0.0
西濃,,40,450,2100,0.0,0.0
西濃,,40,450,2100,0.0,0.0
西濃,,40,450,2100,0.0,0.0
西濃,,60,450,2500,0.0,0.0
西濃,,60,450,2500,0.0,0.0
西濃,,60,450,2500,0.0,0.0
西濃,,80,450,2900,0.0,0.0
西濃,,80,450,2900,0.0,0.0
西濃,,80,450,2900,0.0,0.0
西濃,,100,450,3400,0.0,0.0
西濃,,100,450,3400,0.0,0.0
西濃,,100,450,3400,0.0,0.0
西濃,,120,450,3900,0.0,0.0
西濃,,120,450,3900,0.0,0.0
西濃,,120,450,3900,0.0,0.0
西濃,,140,450,4300,0.0,0.0
西濃,,140,450,4300,0.0,0.0
西濃,,140,450,4300,0.0,0.0
西濃,,160,450,4700,0.0,0.0
西濃,,160,450,4700,0.0,0.0
西濃,,160,450,4700,0.0,0.0
西濃,,180,450,5000,0.0,0.0
西濃,,180,450,5000,0.0,0.0
西濃,,180,450,5000,0.0,0.0
西濃,,200,450,7200,0.0,0.0
西濃,,200,450,7200,0.0,0.0
西濃,,200,450,7200,0.0,0.0
西濃,,30,500,1800,0.0,0.0
西濃,,30,500,1800,0.0,0.0
西濃,,40,500,2100,0.0,0.0
西濃,,40,500,2100,0.0,0.0
西濃,,60,500,2600,0.0,0.0
西濃,,60,500,2600,0.0,0.0
西濃,,80,500,3000,0.0,0.0
西濃,,80,500,3000,0.0,0.0
西濃,,100,500,3500,0.0,0.0
西濃,,100,500,3500,0.0,0.0
西濃,,120,500,4000,0.0,0.0
西濃,,120,500,4000,0.0,0.0
西濃,,140,500,4500,0.0,0.0
西濃,,140,500,4500,0.0,0.0
西濃,,160,500,4900,0.0,0.0
西濃,,160,500,4900,0.0,0.0
西濃,,180,500,5100,0.0,0.0
